고객 이름,Membership Type,시도,시군구,상세주소,전화,제품,ref,제조번호,설치일자,AX 코드,S.Territory
국군대전병원,,대전광역시,유성구,자운동 100-1 사서함78-504호,,HD Plus Wall version,6483734,67236,2019-11-28,104633,WEST
정치과의원,,충청남도,홍성군,광천읍 홍남로 670,041-641-3699,HD Plus Wall version,6483734,64737,2019-11-05,108418,WEST
덴토피아치과의원,,서울특별시,서초구,서초중앙로24길 17,02-599-2847,HD Plus Wall version,6483734,60919,2019-06-24,105260,EAST
원우치과,,경기도,수원시,장안구 대평로 80,031-257-7528,HD Plus Wall version,6483734,61457,2019-04-29,110585,WEST
휘치과의원,,부산광역시,연제구,월드컵대로 54,,HD Plus Wall version,6483734,39237,2019-04-01,111031,EAST
이찬호치과,,경상남도,창원시,신포동2가  18번지,055-223-1233,HD Plus Wall version,6483734,60918,2018-09-28,110758,EAST
콤마(COMMA)치과의원,,경기도,구리시,경춘북로 252,031-571-2880,HD Plus Wall version,6483734,49484,2018-09-17,110702,EAST
조은플러스치과의원,,대전광역시,대덕구,송촌동  460-5  6층,042-632-2875,HD Plus Wall version,6483734,49241,2018-06-04,101506,WEST
그린서울치과,,서울특별시,구로구,고척동 203,02-2688-2875,HD Plus Wall version,6483734,49197,2018-05-14,110558,WEST
나노치과,,경기도,화성시,동탄순환대로 18길 16,031-373-2870,HD Plus Wall version,6483734,49145,2019-01-29,110866,WEST
미금치과_경기 남양주시,,경기도,남양주시,도농동 117 이화빌딩  3층,031-569-2875,HD Plus Wall version,6483734,49175,2018-03-28,100481,EAST
소중치과의원,,서울특별시,송파구,법원로 128,02-527-8877,HD Plus Wall version,6483734,49138,2018-02-27,114869,EAST
연세자연애치과,,서울특별시,서초구,헌릉로 176,02-576-2275,HD Plus Wall version,6483734,49020,2018-01-19,110408,EAST
본수치과의원,,강원특별자치도,춘천시,후석로 328,033-252-7525,HD Plus Wall version,6483734,46980,2017-11-21,110477,EAST
전북대학교병원,,전북특별자치도,전주시,덕진구 건지로 20,063-250-2127,HD Plus Wall version,6483734,46278,2017-11-14,103405,WEST
경기도의료원 수원병원_본부,,경기도,수원시,장안구 수성로 245번길 69,031-888-0160,HD Plus Wall version,6483734,47020,2017-10-24,107122,WEST
더블유화이트치과의원,,서울특별시,강남구,테헤란로87길 17 ,02-564-0075,HD Plus Wall version,6483734,45041,2017-08-22,105522,EAST
연세미치과의원_충남 홍성군,,충청남도,홍성군,광천읍  광천로 295,041-641-2872,HD Plus Wall version,6483734,44581,2017-06-27,112074,WEST
프라우드치과의원,,경기도,부천시,소사로 750,032-678-7528,HD Plus Wall version,6483734,44173,2017-04-24,108110,WEST
하늘치과의원,,서울특별시,종로구,자하문로 58,02-737-2804,HD Plus Wall version,6483734,43898,2017-02-21,108185,WEST
포레스트치과의원,,서울특별시,강서구,마곡중앙6로 10 마곡역센트럴푸르지오시티 2층 210호,02-6952-5501,HD Plus Wall version,6483734,43886,2017-02-02,108238,WEST
전북대학교병원,,전북특별자치도,전주시,덕진구 건지로 20,063-250-2127,HD Plus Wall version,6483734,40832,2017-01-18,103405,WEST
수원선치과의원,,경기도,수원시,팔달구 팔달로3가 26-7번지 남경빌딩 3층,031-257-7520,HD Plus Wall version,6483734,40820,2016-11-28,108338,WEST
아이피앤아이치과의원,,서울특별시,종로구,수송동  85번지,02-735-1135,HD Plus Wall version,6483734,39663,2016-11-23,104201,WEST
연세우일치과병원,,충청남도,천안시,서북구 서부대로 350,041-579-8787,HD Plus Wall version,6483734,39287,2016-09-12,103684,WEST
이가온치과,,서울특별시,구로구,경인로59길 305,02-2675-6525,HD Plus Wall version,6483734,39644,2016-10-27,108291,WEST
심미치과,,경기도,의정부시,신곡동 334-2 지상3층,031-844-7522,HD Plus Wall version,6483734,37867,2016-07-29,109972,EAST
경희의료원,,서울특별시,동대문구,경희대로 23,02-958-9915-6,HD Plus Wall version,6483734,37891,2016-05-31,104181,EAST
경희의료원,,서울특별시,동대문구,경희대로 23,02-958-9915-6,HD Plus Wall version,6483734,37987,2016-05-31,104181,EAST
국군의무사령부 (국군강릉병원),Local Warranty Extension (1+4),강원특별자치도,강릉시,주문진읍 동해대로 4371-34,033-662-7802,HD Plus Wall version,6483734,87008,2024-04-30,,EAST
국군포천병원,Local Warranty Extension (1+4),경기도,포천시,화현면 화동로 564,1688-9164,HD Plus Wall version,6483734,87006,2024-04-29,113925,EAST
경희의료원,Local Warranty Extension (1+2),서울특별시,동대문구,경희대로 23,02-958-9915-6,HD Plus Wall version,6483734,87002,2024-02-06,104181,EAST
31사단(주식회사 나유),Local Warranty Extension (1+2),광주광역시,북구,우치로 339 나동 1층,,HD Plus Wall version,6483734,86349,2023-09-22,,WEST
상무대근지단(주식회사 나유),Local Warranty Extension (1+2),전라남도,장성군,삼서면 태청로 248,,HD Plus Wall version,6483734,86351,2023-09-22,,WEST
35사단 신병교육대(주식회나 나유),Local Warranty Extension (1+2),전북특별자치도,임실군,임실읍 감천로 55-77,,HD Plus Wall version,6483734,86350,2023-09-21,,WEST
특전사의무대(주식회사 나유),Local Warranty Extension (1+2),경기도,이천시,마장면 억만리로130,,HD Plus Wall version,6483734,81761,2023-09-18,,EAST
50사단(주식회사 나유),Local Warranty Extension (1+2),대구광역시,북구,호국로 780 남문위병소,,HD Plus Wall version,6483734,86348,2023-09-15,,EAST
2작사의무대(주식회사 나유),Local Warranty Extension (1+2),대구광역시,수성구,무열로 56,,HD Plus Wall version,6483734,86347,2023-09-15,,EAST
3군단통합의무실(주식회사나유),Local Warranty Extension (1+2),강원특별자치도,인제군,기린면 내린천로 3990,,HD Plus Wall version,6483734,81762,2023-09-13,,EAST
75사단(주식회사나유),Local Warranty Extension (1+2),경기도,남양주시,진접읍 진벌로 179,,HD Plus Wall version,6483734,81760,2023-09-12,,EAST
56사단(주식회사나유),Local Warranty Extension (1+2),경기도,고양시,덕양구 백운길 27-41 ,,HD Plus Wall version,6483734,87001,2023-09-08,,WEST
66사단(주식회사 나유),Local Warranty Extension (1+2),경기도,가평군,가평읍 각담말길 39,,HD Plus Wall version,6483734,81759,2023-09-11,,EAST
수기사의무대(주식회사 나유),Local Warranty Extension (1+2),경기도,가평군,조종면 현창로 31,,HD Plus Wall version,6483734,81750,2023-09-11,,EAST
25사단(주식회사 나유)_경기 양주,Local Warranty Extension (1+2),경기도,양주시,남면 구암리 35-2번지 구암마트,,HD Plus Wall version,6483734,87000,2023-09-08,,EAST
사과나무치과의원_충남 아산,,충청남도,아산시,탕정면 매곡리 1218 젤존트윈시티 1동 405호,041-427-2882,HD Plus Wall version,6483734,79904,2023-08-07,113367,WEST
해동경제연구원(주식회사 나유),Local Warranty Extension (1+2),서울특별시,서초구,내곡동 1-3080,,HD Plus Wall version,6483734,79864,2022-11-30,,EAST
수도군단(주식회사 나유),Local Warranty Extension (1+2),경기도,안양시,동안구 평촌대로476번길 83,,HD Plus Wall version,6483734,79770,2022-06-22,,WEST
지작사_육군지상작전사령부(주식회사 나유),Local Warranty Extension (1+2),경기도,용인시,처인구 역북동 205-17,,HD Plus Wall version,6483734,79726,2022-06-21,,EAST
73사단(주식회사 나유),Local Warranty Extension (1+2),경기도,남양주시,홍유릉로 55 양정동주민센터,,HD Plus Wall version,6483734,79710,2022-06-21,,EAST
60사단(주식회사 나유),Local Warranty Extension (1+2),경기도,고양시,서오릉로 500번길 ,,HD Plus Wall version,6483734,79581,2022-06-20,,WEST
51사단(주식회사 나유),Local Warranty Extension (1+2),경기도,화성시,화성시 매송면 어천리 208 전승신병교육대,,HD Plus Wall version,6483734,79706,2022-06-20,,WEST
5기갑여단(주식회사나유),Local Warranty Extension (1+2),경기도,양주시,칠봉산로 186 철풍회관,,HD Plus Wall version,6483734,79578,2022-06-17,,EAST
12사단 의무대대(주식회사 나유)_강원 인제,Local Warranty Extension (1+2),강원특별자치도,인제군,북면 원통로 299 의무대대,,HD Plus Wall version,6483734,M6175744S79573,2022-06-16,,EAST
52사단(주식회사나유),Local Warranty Extension (1+2),경기도,광명시,성채로78번길 29,,HD Plus Wall version,6483734,79569,2022-06-17,,WEST
7사단의무대(주식회사 나유),Local Warranty Extension (1+2),강원특별자치도,화천군,하남면 논미로 347-11 의무근무대,,HD Plus Wall version,6483734,79566,2022-06-16,,EAST
1사단의무대(주식회사 나유),Local Warranty Extension (1+2),경기도,파주시,사임당로 273 의무대대 보급과 ,,HD Plus Wall version,6483734,79561,2022-06-15,,WEST
6사단의무대(주식회사 나유),Local Warranty Extension (1+2),경기도,포천시,관인면 북원로 404번길 78-5호 의무대대 ,,HD Plus Wall version,6483734,79565,2022-06-15,,EAST
항공학교(주식회사 나유),Local Warranty Extension (1+2),충청남도,논산시,노성면 노성로 430 ,,HD Plus Wall version,6483734,79509,2022-06-09,,WEST
해병대1사단1의무대(주식회사 나유),Local Warranty Extension (1+2),경상북도,포항시,남구 일월동 포항 해군기지,,HD Plus Wall version,6483734,79480,2022-06-08,,EAST
육군종합행정학교(주식회사 나유),Local Warranty Extension (1+2),충청북도,영동군,양강면 양정죽촌로 70,,HD Plus Wall version,6483734,79476,2022-06-07,,WEST
씨디씨어린이치과병원_서울  강남구,,서울특별시,강남구,학동로 97길 11,02-515-0926,HD Plus Wall version,6483734,79863,2022-08-12,109970,EAST
연세이로운치과보존과치과의원,,서울특별시,마포구,월드컵로 98,010-4768-2143,HD Plus Wall version,6483734,68618,2022-04-20,112529,WEST
구대회치과의원,,경기도,성남시,분당 서현동 269-5 서원프라자 401,031-704-7528,HD Plus Wall version,6483734,75563,2022-01-17,108268,EAST
마이스터치과의원,,서울특별시,영등포구,여의도동  44-1 대영빌딩 지하1층 104호,02-783-6625,HD Plus Wall version,6483734,75567,2021-10-24,105312,WEST
화이트치과_강원 강릉시,,강원특별자치도,강릉시,교동광장로 129 2층,033-641-8275,XIOS XG Kit Supreme WiFi Size 1+2 S4,6534353,2004414.71009452.72007229,2018-08-28,100495,EAST
행복치과,6368034 year generator/sensor warranty(3D),경기도,이천시,부발읍 무촌로 125,031-631-2726,Orthophos SL 3D 11x10 DCS,OPSL3D11x10,701074,2021-01-20,111022,EAST
인하대학교의과대학부속병원 (인하대병원),Local Warranty Extension (1+2),인천광역시,중구,인항로 27,032-890-2472032-890-2114,Orthophos SL 3D 11x10 DCS,OPSL3D11x10,700346,2020-11-21,104954,WEST
더하루치과의원,6368034 year generator/sensor warranty(3D),서울특별시,중구,을지로 251,02-2265-2875,Orthophos SL 3D 11x10 DCS,OPSL3D11x10,501615,2019-12-28,111378,WEST
하임치과의원,6368034 year generator/sensor warranty(3D),서울특별시,강남구,논현로98길 34,02-596-2080,Orthophos SL 3D 11x10 DCS,OPSL3D11x10,700326(501616),2019-12-30,109155,EAST
우리치과의원,6368034 year generator/sensor warranty(3D),강원특별자치도,홍천군,홍천로 356,033-434-2879,Orthophos SL 3D 11x10 DCS,OPSL3D11x10,700378,2019-10-23,110431,EAST
휘치과의원,,부산광역시,연제구,월드컵대로 54,,Orthophos SL 3D 11x10 DCS,OPSL3D11x10,700309,2019-04-01,111031,EAST
하루에치과의원,,서울특별시,강남구,강남대로 162길 41-11,1544-0208,Orthophos SL 3D 11x10 DCS,OPSL3D11x10,700345,2019-01-08,104205,EAST
김동윤부부치과의원,,경기도,수원시,팔달구 화서동 71-98,031-253-2743,Orthophos SL 3D 11x10 DCS,OPSL3D11x10,501614.7003,2018-01-31,109478,WEST
명학하나치과,,경기도,안양시,덕천로 52,031-444-7528,Orthophos SL 3D 11x10 DCS,OPSL3D11x10,700308(500975),2017-05-30,107450,WEST
서울원픽치과의원,,서울특별시,서초구,동작대로 50,02-2160-8484,Orthophos SL 3D 11x10 DCS,OPSL3D11x10,700311,2017-05-30,114088,EAST
의료법인 금강의료재단_(구.고치과.고운치과)_경남 창원,,경상남도,창원시,의창구 용호동 73-43,055-285-0987,Orthophos SL 3D 11x10 DCS,OPSL3D11x10,700310(500976),2017-05-27,104104,EAST
미래로치과의원,,서울특별시,강북구,한천로 1035,02-999-2228,Orthophos SL 3D 11x10 DCS,OPSL3D11x10,700299,2017-05-10,104004,EAST
스카이치과,,강원특별자치도,원주시,원일로 57,033-761-2842,Orthophos SL 3D 11x10 DCS,OPSL3D11x10,700300,2017-04-28,108986,EAST
중동21세기치과의원,6368034 year generator/sensor warranty(3D),경기도,부천시,길주로 281,032-324-2875,Orthophos SL 3D 11x10 DCS,OPSL3D11x10,701075,2022-01-23,108087,WEST
연세비전치과의원,6368034 year generator/sensor warranty(3D),인천광역시,부평구,부평대로167번길 54,032-521-2278,Orthophos SL 3D 11x10 DCS,OPSL3D11x10,700997,2021-11-08,109111,WEST
서울다루치과,6368034 year generator/sensor warranty(3D),서울특별시,송파구,석촌호수로 94,02-6285-2275,Orthophos SL 3D 11x10 DCS Ceph Left,OPSL3D11x10C,701088(5202552),2021-01-21,111864,EAST
스마트하루치과의원,6368034 year generator/sensor warranty(3D),경기도,안양시,동안구 시민대로 175,031-342-2275,Orthophos SL 3D 11x10 DCS Ceph Left,OPSL3D11x10C,700923(5201959),2020-05-19,111557,WEST
리치치과의원_부산 해운대구,6368034 year generator/sensor warranty(3D),부산광역시,해운대구,구남로 27,051-741-8833,Orthophos SL 3D 11x10 DCS Ceph Left,OPSL3D11x10C,700711,2019-06-13,107185,EAST
진영이사랑치과의원,,경상남도,김해시,진영읍 김해대로365번길 6-10 센텀메디컬 4층,055-343-7944,Orthophos SL 3D 11x10 DCS Ceph Left,OPSL3D11x10C,700686,2019-04-19,107579,EAST
시흥사과나무치과의원,6368034 year generator/sensor warranty(3D),경기도,시흥시,은행동 532-1 에메랄드빌딩 4F,031-315-2845,Orthophos SL 3D 11x10 DCS Ceph Left,OPSL3D11x10C,700922(5201960),2019-08-28,106550,WEST
콤마(COMMA)치과의원,,경기도,구리시,경춘북로 252,031-571-2880,Orthophos SL 3D 11x10 DCS Ceph Left,OPSL3D11x10C,5200948(700677),2018-09-17,110702,EAST
비욘드 치과병원,,경기도,과천시,별양상가1로 13,02-3678-2875,Orthophos SL 3D 11x10 DCS Ceph Left,OPSL3D11x10C,700401,2018-06-23,108366,WEST
당산원치과의원,,서울특별시,영등포구,당산로 231,02-6264-7575,Orthophos SL 3D 11x10 DCS Ceph Left,OPSL3D11x10C,700347,2019-02-14,110927,WEST
논현수치과,,서울특별시,서초구,신반포로 332,02-514-7528,Orthophos SL 3D 11x10 DCS Ceph Left,OPSL3D11x10C,700264,2018-03-30,109570,EAST
소중치과의원,,서울특별시,송파구,법원로 128,02-527-8877,Orthophos SL 3D 11x10 DCS Ceph Left,OPSL3D11x10C,501628.700328.70943,2018-02-27,114869,EAST
365디지털치과,,대전광역시,서구,대덕대로 175번길 16,042-476-2875,Orthophos SL 3D 11x10 DCS Ceph Left,OPSL3D11x10C,70031242832,2017-09-26,110493,WEST
늘푸른치과의원,,경상남도,창원시,성산구 상남동  2-8번지 2층,055-266-2000,Orthophos SL 3D 11x10 DCS Ceph Left,OPSL3D11x10C,700313,2017-05-25,103857,EAST
프라우드치과의원,,경기도,부천시,소사로 750,032-678-7528,Orthophos SL 3D 11x10 DCS Ceph Left,OPSL3D11x10C,700298,2017-04-28,108110,WEST
김대섭치과,,경기도,화성시,정남면 서봉로 1006-4,031-359-8280,XIOS XG Language-specific set internat.,6411479,,2019-08-23,108662,WEST
365디지털치과,,대전광역시,서구,대덕대로 175번길 16,042-476-2875,XIOS XG Language-specific set internat.,6411479,,2021-11-19,110493,WEST
사람사랑치과의원_전북 전주시,,전북특별자치도,전주시,완산구 온고을로 18 ,063-275-7578,XIOS XG Kit Select USB Size 1,6410844,35(61010046 10020315),2019-09-23,101820,WEST
인하대학교의과대학부속병원 (인하대병원),,인천광역시,중구,인항로 27,032-890-2472032-890-2114,XIOS XG Kit Select USB Size 1+2,6409572,6,2019-08-22,104954,WEST
신세계치과의원,,서울특별시,송파구,새말로8길 27,02-406-2828,XIOS XG Kit Supreme USB Gr.1,6410869,118 (Module:10025069/Sensor:54033193),2020-08-24,112972,EAST
대구예스타치과의원,,대구광역시,중구,중앙대로 366,053-719-3346,XIOS XG Kit Supreme USB Gr.1,6410869,71011345/10022397,2020-01-31,110584,EAST
분당어린이치과의원,,경기도,성남시,분당구 장안로 27,031-716-5275,XIOS XG Kit Supreme USB Gr.1,6410869,157 (10030275/54043981),2023-03-02,109070,EAST
랜더스치과의원,,인천광역시,연수구,컨벤시아대로230번길 54,032-859-0028,XIOS XG Kit Supreme USB Size 1+2,6409598,71011570,2022-06-14,106493,WEST
좋은솜씨죽전치과,,경기도,용인시,기흥구 죽전로 57,031-889-2877,XIOS XG Kit Select USB Size 2,6410885,256(모듈/센서),2021-10-01,112493,EAST
완도치과의원,,전라남도,완도군,완도읍 장보고대로 170,061-555-0028,XIOS XG Kit Select USB Size 2,6410885,254,2021-06-28,109577,WEST
우리치과의원,,강원특별자치도,홍천군,홍천로 356,033-434-2879,XIOS XG Kit Select USB Size 2,6410885,253(10021473/62005225),2019-10-28,110431,EAST
우리치과의원,,강원특별자치도,홍천군,홍천로 356,033-434-2879,XIOS XG Kit Select USB Size 2,6410885,180(실제시리얼기재),2019-10-23,110431,EAST
바른부부치과의원,,경기도,평택시,비전동  829-4,031-655-7528,XIOS XG Kit Select USB Size 2,6410885,54023193/10020092,2019-06-26,110032,WEST
바른부부치과의원,,경기도,평택시,비전동  829-4,031-655-7528,XIOS XG Kit Select USB Size 2,6410885,32(54023291/10020090),2019-06-26,110032,WEST
박민호치과의원_인천 계양구,,인천광역시,계양구,인천 계양 작전 596,032-546-7817,XIOS XG Kit Select USB Size 2,6410885,179(54028319/10021219),2019-08-30,110447,WEST
김대섭치과,,경기도,화성시,정남면 서봉로 1006-4,031-359-8280,XIOS XG Kit Select USB Size 2,6410885,35(54024642/10020096),2019-08-23,108662,WEST
사람사랑치과의원_전북 전주시,,전북특별자치도,전주시,완산구 온고을로 18 ,063-275-7578,XIOS XG Kit Select USB Size 2,6410885,34(62004456100004796),2019-08-17,101820,WEST
서현치과_서울  송파구,,서울특별시,송파구,신천동  7-19 한라시그마타워 307호,02-421-2810,XIOS XG Kit Select USB Size 2,6410885,31(sensor 54024403 10020089),2019-04-10,104631,EAST
365디지털치과,,대전광역시,서구,대덕대로 175번길 16,042-476-2875,XIOS XG Kit Select USB Size 2,6410885,257(10021472/62005266),2021-11-19,110493,WEST
키즈앤쥬니어치과의원,6369289 year generator/sensor warranty(2D),서울특별시,용산구,이촌로84길 9-18,02-793-2801,Orthophos E,6707488,1360001,2025-05-27,107005,WEST
장원치과_서울  금천구,6369289 year generator/sensor warranty(2D),서울특별시,금천구,시흥동 909-8 2층,02-808-2570,Orthophos E,OPE,M6707470S1360197,2025-03-24,108591,WEST
이튼치과_부산 동래,6369289 year generator/sensor warranty(2D),부산광역시,동래구,안락동 151-11 2층,051-531-2275,Orthophos E,OPE,1360194,2024-12-27,109323,EAST
에덴치과_경북 구미,6369289 year generator/sensor warranty(2D),경상북도,구미시,봉곡남로 85,054-442-0028,Orthophos E,OPE,1360193,2024-08-28,109814,EAST
조은플러스치과의원,6369289 year generator/sensor warranty(2D),대전광역시,대덕구,송촌동  460-5  6층,042-632-2875,Orthophos E,OPE,1360192,2024-05-27,101506,WEST
한국보훈복지의료공단중앙병원,Local Warranty Extension (1+2),서울특별시,강동구,진황도로 61길53,02-2225-1114,Orthophos E,OPE,1360191,2023-10-18,103881,EAST
한국보훈복지의료공단중앙병원,Local Warranty Extension (1+2),서울특별시,강동구,진황도로 61길53,02-2225-1114,Orthophos E,OPE,1360189,2023-10-18,103881,EAST
이편한치과의원_전북 전주시,6369289 year generator/sensor warranty(2D),전북특별자치도,전주시,덕진구 솔내로 190 ,063-251-2275,Orthophos E,OPE,1360187,2023-07-19,103581,WEST
미소가있는보스톤치과의원,6369289 year generator/sensor warranty(2D),경상남도,김해시,삼정동  196-14번지,055-323-7528,Orthophos E,OPE,1360180,2022-12-08,108916,EAST
미사랑치과의원_광주  광산구,6369289 year generator/sensor warranty(2D),광주광역시,광산구,소촌동  752-6,062-941-7522,Orthophos E,OPE,1360178,2022-01-26,112473,WEST
바노바기일레븐치과의원,,서울특별시,강남구,논현로 521-3,02-562-2522,XIOS XG Kit Select USB Size2 refurbished,6410885_R_178,178,2020-12-13,107986,EAST
이영준치과,,서울특별시,강서구,등촌로 25,02-2643-4507,Treatment center Intego refurbished,6427285_R_251176,251177,2020-12-20,100330,WEST
이호영치과,,서울특별시,양천구,목동동로 401,02-2654-2875,Treatment center Intego refurbished,6427285_R_251177,251178,2021-01-07,104204,WEST
이호영치과,,서울특별시,양천구,목동동로 401,02-2654-2875,Treatment center Intego refurbished,6427285_R_251178,251179,2021-01-07,104204,WEST
서울 바로나 치과병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강서구,화곡로 176-4,02-2693-2827,Treatment center Intego refurbished,6427285_R_251179,251176,2020-12-21,111607,WEST
이영준치과,,서울특별시,강서구,등촌로 25,02-2643-4507,Treatment Centre SINIUS refurbished,6308865_R_535308,535308,2020-12-20,100330,WEST
바노바기일레븐치과의원,,서울특별시,강남구,논현로 521-3,02-562-2522,HD Plus Wall version refurbished,6483734_R_64733,64733,2020-12-13,107986,EAST
바노바기일레븐치과의원,6368034 year generator/sensor warranty(3D),서울특별시,강남구,논현로 521-3,02-562-2522,Orthophos SL 3D 11x10 DCS Ceph Left refurbished,OPSL3D11x10C_R_70092,700921(5201958),2020-12-13,107986,EAST
고운치과의원,6368034 year generator/sensor warranty(3D),서울특별시,서초구,효령로 132,055-266-2828,Orthophos 3D 11x10,OPS3D11x10,1700519,2025-02-26,114570,EAST
빈스치과의원,6368034 year generator/sensor warranty(3D),대전광역시,서구,둔산동 1407 엠시티타워 3층 일부,010-9803-1586,Orthophos 3D 11x10,OPS3D11x10,1700030,2021-09-15,112124,WEST
국군서울지구병원(주식회사 나유),Local Warranty Extension (1+4),서울특별시,종로구,삼청동 10길 13,02-397-3943,Orthophos 3D 11x10,OPS3D11x10,1700492,2023-11-22,109668,WEST
제니스플러스치과,6368034 year generator/sensor warranty(3D),경상북도,포항시,북구 새천년대로 1210 ,054-256-2882,Orthophos 3D 11x10,OPS3D11x10,1700422,2023-10-30,108914,EAST
2기갑여단(주식회사 나유),Local Warranty Extension (1+2),경기도,파주시,아동동 평일로 사서함 22-3호,,Orthophos 3D 11x10,OPS3D11x10,1700420,2023-09-27,,WEST
50사단(주식회사 나유),Local Warranty Extension (1+2),대구광역시,북구,호국로 780 남문위병소,,Orthophos 3D 11x10,OPS3D11x10,1700421,2023-09-27,,EAST
39사단의무대(주식회사 나유),Local Warranty Extension (1+2),경상남도,함안군,군북면 소포리 470-21 ,010-7708-8007,Orthophos 3D 11x10,OPS3D11x10,1700419,2023-09-26,,EAST
37사단의무대(주식회사나유),Local Warranty Extension (1+2),충청북도,증평군,증평읍 사서함 82-10호,,Orthophos 3D 11x10,OPS3D11x10,1700418,2023-09-25,,WEST
수도군단(주식회사 나유),6336783 Extended warranty Intego/pro (1+2),경기도,안양시,동안구 평촌대로476번길 83,,Orthophos 3D 11x10,OPS3D11x10,1700326,2023-09-25,,WEST
파머스치과의원,6368034 year generator/sensor warranty(3D),전라남도,순천시,백연길 111 ,061-722-2875,Orthophos 3D 11x10,OPS3D11x10,1700325,2023-03-28,108355,WEST
국군양주병원,Local Warranty Extension (1+4),경기도,양주시,은현면 화합로 1133,1688-9163,Orthophos 3D 11x10,OPS3D11x10,1700066,2022-09-28,110853,EAST
51사단(주식회사 나유),Local Warranty Extension (1+2),경기도,화성시,화성시 매송면 어천리 208 전승신병교육대,,Orthophos 3D 11x10,OPS3D11x10,1700050,2022-07-19,,WEST
55사단의무대(주식회 나유),Local Warranty Extension (1+2),경기도,용인시,처인구 포곡읍 포곡로170,,Orthophos 3D 11x10,OPS3D11x10,1700049,2022-07-19,,EAST
육군부사관학교의무대(주식회사 나유),Local Warranty Extension (1+2),전북특별자치도,익산시,여산면 두여리 1192-11,010-5083-0398,Orthophos 3D 11x10,OPS3D11x10,1700048,2022-07-18,,WEST
66사단(주식회사 나유),Local Warranty Extension (1+2),경기도,가평군,가평읍 각담말길 39,,Orthophos 3D 11x10,OPS3D11x10,1700047,2022-07-18,,EAST
56사단(주식회사나유),Local Warranty Extension (1+2),경기도,고양시,덕양구 백운길 27-41 ,,Orthophos 3D 11x10,OPS3D11x10,1700046,2022-07-15,,WEST
73사단(주식회사 나유),Local Warranty Extension (1+2),경기도,남양주시,홍유릉로 55 양정동주민센터,,Orthophos 3D 11x10,OPS3D11x10,1700045,2022-07-14,,EAST
52사단(주식회사나유),Local Warranty Extension (1+2),경기도,광명시,성채로78번길 29,,Orthophos 3D 11x10,OPS3D11x10,1700044,2022-07-14,,WEST
3기갑여단(주식회사 나유),Local Warranty Extension (1+2),강원특별자치도,홍천군,남면 시동안로321번길 34-2,,Orthophos 3D 11x10,OPS3D11x10,1700041,2022-07-13,,EAST
60사단(주식회사 나유),Local Warranty Extension (1+2),경기도,고양시,서오릉로 500번길 ,,Orthophos 3D 11x10,OPS3D11x10,1700039,2022-07-13,,WEST
하얀치과_충남 예산군,6368034 year generator/sensor warranty(3D),충청남도,예산군,예산읍 발연리 85-4 GM빌딩4층,041-334-2727,Orthophos 3D 11x10,OPS3D11x10,1700078,2023-01-19,112153,WEST
인천세종병원,Local Warranty Extension (1+2),인천광역시,계양구,계양문화로 20,032-240-8000,Orthophos 3D 11x10,OPS3D11x10,1700067,2022-12-19,113018,WEST
기쁨이샘솟는치과의원,6368034 year generator/sensor warranty(3D),서울특별시,은평구,진관동 20 은평뉴타운상림마을 2층 상가 821동 201호~202호,02-737-7522,Orthophos 3D 11x10,OPS3D11x10,1700038,2022-06-20,112695,WEST
랜더스치과의원,6368034 year generator/sensor warranty(3D),인천광역시,연수구,컨벤시아대로230번길 54,032-859-0028,Orthophos 3D 11x10,OPS3D11x10,1700037,2022-06-14,106493,WEST
육군종합행정학교(주식회사 나유),Local Warranty Extension (1+2),충청북도,영동군,양강면 양정죽촌로 70,,Orthophos 3D 11x10,OPS3D11x10,1700042,2022-06-29,,WEST
항작사의무실(주식회사 나유),Local Warranty Extension (1+2),경기도,이천시,모가면,,Orthophos 3D 11x10,OPS3D11x10,1700040,2022-06-29,,EAST
5기갑여단(주식회사나유),Local Warranty Extension (1+2),경기도,양주시,칠봉산로 186 철풍회관,,Orthophos 3D 11x10,OPS3D11x10,1700043,2022-06-27,,EAST
학교법인가톨릭학원 가톨릭대학교 인천성모병원,Local Warranty Extension (1+2),인천광역시,부평구,동수로 56,032-280-5128(1544-9004),Orthophos 3D 11x10,OPS3D11x10,1700036,2022-02-19,104949,WEST
닥터조치과의원,6368034 year generator/sensor warranty(3D),경기도,고양시,덕양구 호국로790번길 6,031-811-2828,Orthophos 3D 11x10,OPS3D11x10,1700032,2021-12-20,111993,WEST
국군함평병원,Local Warranty Extension (1+4),전라남도,함평군,해보면 신해로 1027,010-9105-1006,Orthophos 3D 11x10,OPS3D11x10,1700031,2021-11-04,,WEST
서울웅천치과,6368034 year generator/sensor warranty(3D),전라남도,여수시,웅천로 108,061-810-3031,Orthophos 3D 11x10 Ceph (Arm),OPS3D11x10C,1700053,2025-06-19,107512,WEST
더스마트치과의원,6368034 year generator/sensor warranty(3D),대전광역시,유성구,도룡동 3-1 대전신세계엑스포점 타워 4층,010-2671-3670,Orthophos 3D 11x10 Ceph (Arm),OPS3D11x10C,1700033,2021-08-11,112201,WEST
원데이수치과의원,6368034 year generator/sensor warranty(3D),충청남도,아산시,번영로 118,041-584-7582,Orthophos 3D 11x10 Ceph (Arm),OPS3D11x10C,1700022,2021-06-14,111488,WEST
